textID,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),Cleaned_Review,Sentiment
f87dea47db,last session of the day  http://twitpic.com/67ezh,neutral,morning,0-20,Afghanistan,38928346.0,652860.0,60.0,last session of the day  ,Neutral
96d74cb729, shanghai is also really exciting (precisely -- skyscrapers galore). good tweeps in china:  (sh)  (bj).,positive,noon,21-30,Albania,2877797.0,27400.0,105.0, shanghai is also really exciting precisely  skyscrapers galore good tweeps in china  sh  bj,Positive
eee518ae67,"recession hit veronique branquinho, she has to quit her company, such a shame!",negative,night,31-45,Algeria,43851044.0,2381740.0,18.0,recession hit veronique branquinho she has to quit her company such a shame,Neutral
01082688c6, happy bday!,positive,morning,46-60,Andorra,77265.0,470.0,164.0, happy bday,Positive
33987a8ee5, http://twitpic.com/4w75p - i like it!!,positive,noon,60-70,Angola,32866272.0,1246700.0,26.0,   i like it,Neutral
726e501993, that`s great!! weee!! visitors!,positive,night,70-100,Antigua and Barbuda,97929.0,440.0,223.0, thats great weee visitors,Positive
261932614e,i think everyone hates me on here   lol,negative,morning,0-20,Argentina,45195774.0,2736690.0,17.0,i think everyone hates me on here   lol,Positive
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,noon,21-30,Armenia,2963243.0,28470.0,104.0, soooooo wish i could but im in school and myspace is completely blocked,Positive
e64208b4ef, and within a short time of the last clue all of them,neutral,night,31-45,Australia,25499884.0,7682300.0,3.0, and within a short time of the last clue all of them,Neutral
37bcad24ca, what did you get?  my day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,morning,46-60,Austria,9006398.0,82400.0,109.0, what did you get  my day is alright havent done anything yet leaving soon to my stepsister though,Neutral
24c92644a4,my bike was put on hold...should have known that.... argh total bummer,negative,noon,60-70,Azerbaijan,10139177.0,82658.0,123.0,my bike was put on holdshould have known that argh total bummer,Neutral
43b390b336, i checked.  we didn`t win,neutral,night,70-100,Bahamas,393244.0,10010.0,39.0, i checked  we didnt win,Positive
69d6b5d93e, .. and you`re on twitter! did the tavern bore you that much?,neutral,morning,0-20,Bahrain,1701575.0,760.0,2239.0,  and youre on twitter did the tavern bore you that much,Positive
5c1e0b61a1,"i`m in va for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,noon,21-30,Bangladesh,164689383.0,130170.0,1265.0,im in va for the weekend my youngest son turns  tomorrowit makes me kinda sad he is getting so big check out my twipics,Negative
504e45d9d9,its coming out the socket  i feel like my phones hole is not a virgin. that`s how loose it is... :`(,negative,night,31-45,Barbados,287375.0,430.0,668.0,its coming out the socket  i feel like my phones hole is not a virgin thats how loose it is ,Negative
ae93ad52a0,"so hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,morning,46-60,Belarus,9449323.0,202910.0,47.0,so hot today   dont like it and i hate my new timetable having such a bad week,Negative
9fce30159a, miss you,negative,noon,60-70,Belgium,11589623.0,30280.0,383.0, miss you,Neutral
00d5195223,cramps . . .,negative,night,70-100,Belize,397628.0,22810.0,17.0,cramps   ,Neutral
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,morning,0-20,Benin,12123200.0,112760.0,108.0, you guys didnt say hi or answer my questions yesterday  but nice songs,Positive
